name,ts_start,ts_end,ts_version,width,height,width_hires,height_hires,period_in_minutes,utc,image_type,timezone,webroot,expt
BVZ0036-GC02R-C01~fullres-orig,2014_06_18_08_30_00,2014_07_26_17_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05L-C01~fullres-orig,2014_06_18_17_00_00,2014_08_08_09_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05R-C01~fullres-orig,2014_06_18_18_30_00,2014_08_06_07_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0032-GC03L-C01~fullres-corr,2014_04_17_11_45_00,2014_08_05_16_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC03R-C01~fullres-corr,2014_04_16_06_00_00,2014_08_08_17_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC04L-C01~fullres-corr,2014_04_17_11_45_00,2014_08_08_06_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC04R-C01~fullres-corr,2014_04_17_12_30_00,2014_08_08_17_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0036-GC02L-C01~fullres-corr,2014_06_03_05_00_00,2014_08_01_17_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC02R-C01~fullres-corr,2014_06_18_08_30_00,2014_07_26_17_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05L-C01~fullres-corr,2014_06_18_17_00_00,2014_08_08_09_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05R-C01~fullres-corr,2014_06_18_18_30_00,2014_08_06_07_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0032-GC03L-C01~fullres-seg,2014_04_17_11_45_00,2014_08_05_16_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC03R-C01~fullres-seg,2014_04_16_06_00_00,2014_08_08_17_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC04L-C01~fullres-seg,2014_04_17_11_45_00,2014_08_08_06_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0032-GC04R-C01~fullres-seg,2014_04_17_12_30_00,2014_08_08_17_15_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0032,BVZ0032
BVZ0036-GC02L-C01~fullres-seg,2014_06_03_05_00_00,2014_08_01_17_00_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC02R-C01~fullres-seg,2014_06_18_08_30_00,2014_07_26_17_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05L-C01~fullres-seg,2014_06_18_17_00_00,2014_08_08_09_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
BVZ0036-GC05R-C01~fullres-seg,2014_06_18_18_30_00,2014_08_06_07_30_00,1,640,426,1920,1280,5,false,JPG,0,http://phenocam.anu.edu.au/cloud/a_data/timestreams/borevitz/BVZ0036,BVZ0036
